hmid,cleaned_hm,predicted_output
88436,I took a vacation to Disneyland.,affection
88437,I decided to put in a wood floor in my kitchen I did it all by myself over the course of two days. I was so happy,achievement
88438,"Running along a singletrack footpath on a sunny afternoon, I looked up to see a horse coming the other way. Beautiful grey and black horse and the rider was very friendly, happy to step aside and let them go by, and they're huge up close.",affection
88439,I planned a week long vacation to Florida.,affection
88440,Realizing I'll be aesthetically skinny,affection
88441,It made me happy to listen to a pastor's sermon on tv today.,achievement
88442,The day I found out that I was pregnant with twins.,achievement
88443,It made me happy to have watched my favorite soap opera on tv today.,affection
88444,"My parents surprised me with an electric lawnmower, which makes maintaining my yard much easier.",affection
88445,Last week I received information from my youngest sister that her daughter had a baby girl which made me a great uncle.,affection
88446,My boss let me get a longer lunch break than usual.,achievement
88447,My wife grilled shrimp for dinner the other night. ,affection
88448,I completed my work on time today.,achievement
88449,"I ordered a new spinner from Fidget LA and it had chips on the buttons, so I emailed them and they're sending me new ones right away with no charge!",achievement
88450,Going out shopping with my daughter and mom,affection
88451,Going to the movies with a girl I like to see Guardians of the Galaxy 2.,affection
88452,I received some excellent news from my doctor today.,achievement
88453,I saw a beautiful sunrise over the East River in New York City,affection
88454,I played with a dog with my wife.,affection
88455,"Getting a larger than expected bonus from a Mturk hit, where the bonus is randomly determined.",achievement
88456,I got to play with my dog!,affection
88457,The get together with my friends.we went a long trip of seven days and there are couple of old conversation with rejuvenate the past and comes the smile in our faces.As everyone is almost in good stage all are earning good in their life and after that finally get together brings a smile in our face.,affection
88458,I lifted weights for the first time in months,achievement
88459,"The day my 9 month old daughter laughed, waved and clapped her hands when my parents came over to our house. In the last few weeks, we've been trying to teach her these skills, and it all came together in one joyful occasion! I was a proud mama.  ",affection
88460,I ordered a new set of speakers to fix my broken ones.,achievement
88461,I was awarded a position as editor for my university's literary magazine.,achievement
88462,I came back from the USA to India After a long Days My Mother AND My Family Members Saw me That moment very Happy feel.,affection
88463,I went to a close friend's wedding.,bonding
88464,I had a chance to talk to my dad about Alabama football which was nice. ,affection
88465,"I bought a lot of clothes online, especially from Korea.",achievement
88466,"When my new clothes arrived from amazon, I was very happy.  ",achievement
88467,I bought a new travel pillow.,achievement
88468,I got a new coffee maker which made my mornings easier.,achievement
88469,"Yesterday as my husband was leaving for work, our 18 month old son spoke his first sentence. He told his dad very clearly ""bye bye da da"".",affection
88470,"I had taken my car to the shop to get fixed, to restore it to its glory.",affection
88471,I took a vacation to see some family and friends in Taiwan.,affection
88472,My first daughter was born.,affection
88473,The New York Rangers were eliminated from the playoffs.,achievement
88474,In generally When i am reach my goals that moment will be the happiest moment in my life.,affection
88475,Last month was my mother's birthday in April and she usually forgets her birthdays.  She was coming to my house at 7:30am.  I was tired  that morning because I had just arrived last night from a business trip.  but I woke up early in the morning and baked a cheese cake and went to store to get candles.  Then as I saw her car park outside my home I quickly lit the candles and put them on the cake and then put the cake on the table.  When she came in I started singing happy birthday to her.  She was taken by surprise and couldn't stop smiling.  Then I served the cake and she enjoyed it tremendously.,affection
88476,"My cat, who was having trouble eating after her dental surgery, finally started eating regularly again.",affection
88477,Beating a game i have been playing for awhile made me pretty happy,achievement
88478,An event that made me happy was getting a job offer that can lead into growth and a career. Excited because I do not have a degree. ,achievement
88479,"I was asked to be involved in a training group that will get to travel on a business trip to New York. The training will involve older software that not all current scientists I work with are knowledgeable on. I use this software regularly, therefore I made a good candidate to involve in such a training. All expenses will be paid and we will actually get to visit tourist areas in the area of Buffalo, NY.",affection
88480,It made me happy when I got to go on a road trip with my family.,affection
88481,I came home from work one day and I found out my wife was pregnant.,affection
88482,The event that made me happy happened in July of 2016 when I got hired as dod contractor deploying to Afghanistan. ,achievement
88483,I finished a hard day at work.,achievement
88484, I used an eBay coupon to buy The Legend of Zelda: Skyward Sword for the Wii at significantly less than market value.,achievement
88485,A recent happy moment for me was going out for drinks this last weekend with some friends.,affection
88486,My boss and her boss both told me how happy they were that I was working for them.,achievement
88487,"I received a promotion at my job from a technician to a technician supervisor, I have been waiting for this promotion for 1.5 years",achievement
88488,I got an entire day to myself so I went to the beach and relaxed all day.,affection
88489,When my student who often has trouble in a classroom had a really good day in school.,achievement
88490,My son agreed to apply for a job.   He had been fighting this and he finally agreed.,achievement
88491,I went to the fair with my sister and told a lot of jokes that made her laugh.,affection
88492,When my twins accidentally fell and miraculously weren't hurt.,affection
88493,I finished reading Alexander Hamilton,achievement
88494,I described a youtube channel and am hooked,achievement
88495,Having a steady but slow workflow at work giving me adequate time with each client/patient made me happy.,affection
88496,I went out to dinner with a girl i have not seen in a long time.,bonding
88497,Learning how to dance I know it may sound dumb but it is true I never knew how to dance but then I learned great feeling inside,achievement
88498,"I was happy when I was able to relax all day doing nothing. I work over 50 hours a week 6 days a week. And the last thing I want to do is work on the house. So, not working made me happy that day.",achievement
88499,I feel very happy in last month because of my company celebrates events that day am dance without thinking about the world so am happy in that day.,achievement
88500,My brother got a job. I am very happy that there is an additional person now bringing in income for the family. ,affection
88501,I went to a nice dinner with some friends.,bonding
88502,I saw Dave Coulier on the back of a cereal box. ,achievement
88503,It made me very happy to buy me a new watch in an online store.,achievement
88504,Recovered from my back injury.,achievement
88505,I went to visit my son at school.,affection
88506,My son received an academic reward at school,achievement
88507,My husband took the day off work to put together an Ikea dresser for me.,affection
88508,I was able to dine at one of my favorite restaurants.,affection
88509,5 days ago me and my son were alone together. Is a happy moment when he shares without the supervision of the mother all the natural behavior he has.,affection
88510,I was able to hike down to a waterfall,achievement
88511,I got a decent pay raise recently which takes some stress off of my shoulders. ,achievement
88512,The temperature has been between 60-70 the past 3 days and it has made me very happy.  Tomorrow the temp will be back into the 90's.,achievement
88513,One thing that made me happy is that my dog was able to be groomed after not being groomed for a while.,affection
88514,"The last time I was happy was when I had nothing but a gallon of sweet tea, and someone to have a genuine conversation with. Nothing with any awkward pauses, we were genuinely enjoying each others company. I wasn't around my family, and was having a great time.",affection
88515,Recently I stopped biting my nails and that made me feel like I could accomplish anything!,affection
88516,I finally found a primary doctor that takes my insurance carrier.,achievement
88517,"Today, this girl brought in a box of pizza to the political science club meeting. I ate 3 slices. I love pizza. Free pizza is even better!",affection
88518,I had famous dim sum with my wife after work for dinner.,affection
88519,"I was happy when my husband finally fixed the icemaker on my side-by-side refrigerator; it meant I no longer had to fill ice cube trays, had plenty of ice to use without rationing it for each drink, and that my fridge is back to perfect working condition. ",achievement
88520,I had a smoothie today and I really liked it.,affection
88521,I was given a promotion that resulted in a 6% pay increase last week. ,achievement
88522,I went for a long run and felt good afterwards.,exercise
88523,"I live with my father in-law since my mother in law passed away 3 years ago and the other day I said to my Fiance, ""Well, it is Dad's house after all after my Fiance made a snide remark towards his father."" My father in-law responded back kindly that it was OUR house. ",affection
88524,festival in nearest temple,achievement
88525,I am doing my visiting teaching tonight.,affection
88526,Attending a 90th birthday party for a friend.,affection
88527,The elementary school instrumental ensemble I direct made significant progress in their rehearsals this week.,achievement
88528,Last night my wife and I had a friend over for board game night. ,affection
88529,Visiting my grandparents in The Netherlands made me happy.,affection
88530,"The most happy moment in my life My birthday celebrations, Last Month My friends Celebrates My birthday in My Home that day We enjoy a lot.",affection
88531,Working out today,achievement
88532,"Today my daughter who has severe anxiety went to the dentist. In the past she was unwilling to let a dentist even look in her mouth but, today she was very cooperative and listened very well to exactly what they were asking her to do. She also had 0 cavities which is very good. The minute she actually let them look and do what they needed to I started smiling! I am still very happy and proud of her and probably will be for a couple more weeks. ",achievement
88533,One event that made me happy in the past 3 months was when I got an interview for my dream job.,achievement
88534,"Last week, I was offered a new job with a 20 percent pay increase",achievement
88535,Yadier Molina had an RBI single in a baseball game.,achievement
88536,"Blessed with boy bay on march 23rd, Actually my wife's due date is april 30th due to some reason baby movement is too high suddenly in march 20th so doctor's ask us to wait for 2 or 3 days for normal delivery.The day march 23rd my little one born the day made me not only happy its some think like heaven",affection
88537,There was a time when I almost didn't manage to all my bills on time.,achievement
88538,My very fearful dog who never goes on walks went on a nice long walk today. ,affection
88539,I met a new girlfriend.,affection
88540,"I went to the movies with a friend, and the movie was excellent.",bonding
88541,I gave an awesome presentation today that I was nervous about and it went well. Now I feel great.,affection
88542,I ATTENDED MY FRIEND SCHOOL ANNUAL DAY FUNCTION,bonding
88543,Seeing my dog run to me when I got home from work. ,affection
88544,I completed a few songs I wrote.,achievement
88545,I was happy when I went to visit a friend who cooked dinner for me and my wife last week.,affection
88546,My wife got a huge bonus for hard work,achievement
88547,"Last month new shift to new house there we garden, parking place children  playground its too good view ",achievement
88548,I was accepted in to a competitive study abroad program for the fall.,achievement
88549,I love watching the Juventus matches at home with my friends,affection
88550,I caught a big fish today when I was fishing,affection
88551,I wrote a story about a local filmmaker and we became friends.,affection
88552,I ate at my favorite japanese restaurant with my friends.,affection
88553,I was happy today when I got to listen to my favorite songs on the radio when driving home.,achievement
88554,"One of my close friends told me that they were very thankful for me and that I made a positive difference in their life, during a trip to the movies. ",affection
88555,I made dinner for my girlfriend and she loved it,affection
88556,I moved across the country to have a fresh start.,affection
88557,I had a good birthday celebrated by my favorite food at a picnic at the park.,affection
88558,when i made love with my girlfriend.,affection
88559,My father was discharged from the hospital.,affection
88560,"I am following a resolution to talk with my parents daily for at least 10 min and know their well being, and this makes me and my parents very happy",affection
88561,I was happy when I had free lunch provided for me at work.,achievement
88562,I got to see an ultrasound of my first baby girl. We went in and I knew it was a girl. We found out the gender with my mother and my husband. They took pictures and we discuss her ability to flip and become a gymnast. ,affection
88563,I lost my weight by doing exercise.,achievement
88564,My tire was fixed with a can of fix-a-flat rather than going to a tire repair service,achievement
88565,Sitting on my back deck listening to the multitude of birds that live near me.,affection
88566,I had a really nice dinner with my mom. ,affection
88567,I received a promotion at work and received an increase in pay because of it.,achievement
88568,Getting a free ticket to an event by walking past the right person on the sidewalk.,affection
88569,I traveled out of town and attended fun meeting.,affection
88570,I was really happy when I found out I got concert tickets for my birthday.,achievement
88571,My son is weaned off of his binky & sleeps all night now,affection
88572,Starting of this month I had check in a music concert with my family and that evening was excellent and unforgettable music experience.,affection
88573,I went swimming at the local pool.,affection
88574,Had a nice dinner with my parents for my Mom's birthday tonight.,affection
88575,I took my family to see Guardians of the galaxy 2 at the movies and we had a great time.,affection
88576,When my mom got me that special chai tea that I love so much and it's very rare to find.,affection
88577,I was very happy when my daughter went to see her new school for the first time and was very excited and enjoyed every minute of it.,affection
88578,My niece graduated college with her bachelor's degree and decided to continue with her education to earn her master's degree.,achievement
88579,Finishing a semester project and turning it in made me happy because I put a lot of work into it and I was proud of myself.,achievement
88580,I received a paycheck with 15 hours of overtime.,achievement
88581,Cleaning the house with my mother.,affection
88582,A friend got in contact with me who I have not heard from in years.,achievement
88583,I went out to my chicken coop yesterday and all of my birds came running to greet me. ,affection
88584,My son's birthday celebrated by last month.,affection
88585,I was happy to hear that my Dad is now cancer free.,affection
88586,I found out that my boyfriend has savings that will get him through a tough time.,achievement
88587,"My happy moment In my Life was my 25th Birthday Celebrations in My uncle House ,My family members celebrates a lot am fee very happy.",affection
88588,"Real won 4-2 against Atletico. Let Go Real, Hala madrid. Amazing night with happy scores ",affection
88589,I was happy when I help my friend complete a project of his last month. ,achievement
88590,I purchase a new maruti Swift car.,achievement
88591,Getting a new job,achievement
88592,The day my son was born.,affection
88593,MY MOM'S BIRTHDAY CELEBRATION SO I REALLY ENJOYED PREVIOUS MONTH,affection
88594,Yesterday we went to temple which is 40 kilometers away from place. We all family together had a nice time.,affection
88595,I was rewarded with an all expense paid trip to Las Vegas as an incentive to meeting a work goal.,achievement
88596,My grass grew back,achievement
88597,I am selected from my firm to join a training program abroad.,achievement
88598,A friend of mine had offered to pay my passport fees to fly to Canada to see someone extremely special to me.,bonding
88599,"Today I was greeted with a astonishingly large flower that finally bloomed from a seed that I had planted back in February, so that was pretty cool. ",achievement
88600,I went to my wife's friend's baby shower.  She was so happy to be a mother it made us happy for her.,affection
88601,I Purchased one new laptop with latest config,achievement
88602,I and my 4 friend gone to a 5 days tour to Delhi last month.,affection
88603,"Happiness in our life for every little and big moments of our life ,in last month our total family traveled a tour in historical places in all over world.",affection
88604,"An event that made me happy in the past 3 months was when me and my boyfriend were fighting and my best friend offered me to come stay at her house and live there if I needed to, she lives with her boyfriend and she didn't have to do that for me but she was willing to have me move into her house just because my boyfriend wanted to not live together anymore. I didn't end up going to live with her, but that whole weekend I stayed over there and she talked with me the whole weekend and bought a bunch of junks and movies and helped me through it. That made me so happy, and realize that I have such a great best friend and I don't know what I would do without her.",affection
88605,The other day my friend promised to go on a trip with me.,affection
88606,I came home from vacation to see my very excited dog.,affection
88608,I got thanked for my hard work at work today.,achievement
88609,I had a sound sleep,affection
88610,I bought myself a candy bar.,achievement
88611,I found out today that my mom is coming to visit us for the weekend.,affection
88612,"Today was payday for me, which only happens monthly.",achievement
88613,MY DAUGHTER GOT GOD MARKS IN ANNUAL EXAMINATION.SHE MAKES ME VERY PROUD.,affection
88614,I did well on my English final.,achievement
88615,When my taxes hit I was very excited. I got to buy my kids whatever they wanted.,achievement
88617,"When I read ""Unleash the power within"" by Tony Robbins, it really changed my life.",affection
88618,"Got accepted into a work from home position, just waiting to sign some papers now.",achievement
88619,"This morning I was fortunate to get tickets to a Taylor Swift concert, for my mother and sister to attend this summer.",affection
88620,A moment that made me happy recently was smoking a pork butt for my friends birthday.,affection
88621,I went to the store and found out they now carried my favorite brand of fancy beer.,achievement
88622,I went for a hike with my girlfriend. ,affection
88623,I purchased a Laptop last month and that moment makes me feel happy.,achievement
88624,I went to a teahouse and drank chai and wrote.,affection
88625,"I purchased a new mobile, two months ago and I was happy.",achievement
88626,we are going to pray the god for the past 10 days daily which is a great ritual in our religion where we meet all kinds of people from my own city and other towns nearby which makes us feel very happy,affection
88627,"The offsite with colleagues was great fun. We had stimulating discussions.
",bonding
88628,I bought a new 2 BHK Apartment for me and my family near my workplace.,achievement
88629,My grandson told me he loved me and gave me one of his toys.,affection
88630,MY FAMILY WENT TO TEMPLE.,affection
88631,I was able to travel to visit family.,affection
88632,I went to the beach close to the city on a trip and had some delicious meals,affection
88633,"At Afrikaburn, I was able to dance freely and confidently with my closest friends.",bonding
88634,"Working on a website, I could not locate some badly behaving code, but when I finally found solution, I yelled out with joy: ""Yes!""",achievement
88635,"I watched my son play in his tee-ball game, he hit the ball and ran toward the pitcher position instead of going to first base.",affection
88636,I received a promotion at work.,achievement
88637,I had a productive day at work. ,achievement
88638,I spent time with my father today. It was great seeing him!,affection
88639,Studying for a certification to advance my career and completing my goal. ,achievement
88640,Quitting a job that made me mad cause me great happiness.,achievement
88641,MY FRIENDS ALL TOGETHER FOR GETOGTHER THAT IS HAPPY MOMENT ,affection
88642,I had a conference where I met many new people and it made me very happy.,affection
88643,"Spending with my family on going to next city, movies and other entertainments to spend my kids vacations which makes us happy and enjoyment for the past 15 days",affection
88644,I got to see my dad meet his third nephew for the very first time.,affection
88645,My husband brought home ice cream when he went out on an errand.,affection
88646,"One event that made me happy was when I gave my four year old niece a bracelet, and she was so excited, that her face lit up and she thanked me and told me she loved me.",affection
88647,I got to travel to New York to go to a concert. It was a once in a lifetime event because they are from Korea and don't come to the North America a lot. ,achievement
88648,Last month i bought a new cycle for my kid she was happy and i was also very happy because i taught her how to do the cycling. she is very good in learning and she has improved a lot after 15 days of learning.,achievement
88649,I was given a huge discount on an apartment because of my occupation.,achievement
88650,I got my teeth cleaned at the dentist.,achievement
88651,I WANT COLLEGE,achievement
88652,I found a house to rent so I don't have to live in a motel anymore.,affection
88653,Learning that my sister is pregnant and that I'll be getting a new niece or nephew.,achievement
88654,I WANT TEMPLE,achievement
88655,My son texted me a funny Happy Easter text.,affection
88656,I WENT TO COMPUTER CLASS.,achievement
88657,I WENT TO COMPUTER CLASS.,achievement
88658,I WENT TO COMPUTER CLASS.,achievement
88659,My husband made me happy this past month by taking me out to dinner at one of my favorite restaurants.,affection
88660,"Was able to obtain my dream job, after working full time and attending university. ",achievement
88661,My mother kissed me when i gave her a cake.,affection
88662,I got approved for a loan to purchase a home.,achievement
88663,I WENT TO COMPUTER CLASS.,achievement
88664,One of my friends had a little baby boy.,affection
88665,I taught a group of preschooler at church and they all really paid attention.,achievement
88666,I WANT TO COMPUTER CLASS,achievement
88667,I attend a training event and learned many new skills.,achievement
88668,I attended the Libertarian Party of Ohio conference.,bonding
88669,I WENT TO COMPUTER CLASS.,achievement
88670,I WENT TO COMPUTER CENTRE,achievement
